X,Y,OBJECTID,NestID,County,NestTownsh,NestRange,NestSectio,GazPage,LastKnownA,LastSurvey,LatDec,LonDec,Act98,Act99,Act00,Act01,Act02,Act03,Act04,Act05,Act06,Act07,Act08,Act09,Act10,Active11,Active12,Active13,Active14,Active15,last_edited_date,Active16,Active17
-82.1306669995336,29.4534999999165,2549,AL001,Alachua,12S,22E,17,72,2011,2014,29.4535,-82.130667,Y,Y,Y,N,Y,Y,U,Y,Y,Y,Y,*,*,Y,*,*,N,*,2017/09/19 23:51:32+00,*,
-82.1633330005554,29.5033330002672,2550,AL002,Alachua,11S,21E,25,66,1994,2011,29.503333,-82.163333,-,-,-,-,-,-,-,-,-,-,*,*,*,-,*,*,*,*,2017/09/19 23:51:32+00,*,
-82.1343329999536,29.4995000006551,2551,AL003,Alachua,11S,22E,29,72,2014,2014,29.4995,-82.134333,Y,Y,N,Y,Y,Y,Y,Y,Y,U,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1649999997366,29.5050000003994,2552,AL004,Alachua,11S,21E,25,66,1991,2011,29.505,-82.165,-,-,-,-,-,-,-,-,-,-,*,*,*,-,*,*,*,*,2017/09/19 23:51:32+00,*,
-82.1138329996056,29.5619999996421,2553,AL005,Alachua,11S,22E,04,66,2014,2014,29.562,-82.113833,U,U,Y,Y,Y,Y,Y,N,Y,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1546670006202,29.4611670000467,2554,AL006,Alachua,12S,22E,07,72,2014,2014,29.461167,-82.154667,Y,Y,N,Y,N,Y,Y,Y,Y,Y,U,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.2416669997308,29.6425000000489,2555,AL007,Alachua,10S,21E,07,66,2014,2014,29.6425,-82.241667,Y,Y,N,Y,Y,Y,N,U,Y,Y,U,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.4466670005157,29.5566669992377,2556,AL008,Alachua,11S,19E,07,65,1984,2011,29.556667,-82.446667,-,-,-,-,-,-,-,-,-,-,*,*,*,-,*,*,*,*,2017/09/19 23:51:32+00,*,
-82.2969999998739,29.6195000004938,2557,AL010,Alachua,10S,20E,15,65,2014,2014,29.6195,-82.297,Y,Y,Y,U,Y,Y,Y,Y,Y,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1996669998504,29.7066670006493,2558,AL011,Alachua,09S,21E,15,66,1983,2011,29.706667,-82.199667,-,-,-,-,-,-,-,-,-,U,-,*,*,-,*,*,*,*,2017/09/19 23:51:32+00,*,
-82.2088330002761,29.6266669996654,2559,AL012,Alachua,10S,21E,16,66,2014,2014,29.626667,-82.208833,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.2231669995482,29.6163330003737,2560,AL013,Alachua,10S,21E,17,66,2004,2014,29.616333,-82.223167,Y,Y,Y,Y,Y,N,Y,U,-,U,U,*,*,-,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.2633329998428,29.5686669998475,2561,AL014,Alachua,11S,20E,04,65,2014,2014,29.568667,-82.263333,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.5083330003427,29.4883329999757,2562,AL015,Alachua,11S,18E,33,71,1998,2014,29.488333,-82.508333,Y,N,-,-,-,N,U,-,-,U,U,*,*,-,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.2378329999796,29.5196669999961,2563,AL018,Alachua,11S,21E,12,66,2011,2014,29.519667,-82.237833,N,Y,Y,N,Y,Y,U,U,Y,U,U,*,Y,Y,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.1484999997194,29.5381670003504,2564,AL019,Alachua,11S,22E,18,66,2014,2014,29.538167,-82.1485,Y,Y,Y,Y,Y,Y,N,N,Y,Y,U,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1633329996571,29.4708329995259,2565,AL020,Alachua,12S,21E,01,72,2014,2014,29.470833,-82.163333,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.153500000133,29.5149999996943,2566,AL021,Alachua,11S,22E,19,66,2014,2014,29.515,-82.1535,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.3864999996404,29.5451669997239,2567,AL022,Alachua,11S,19E,11,65,2014,2014,29.545167,-82.3865,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1376669992142,29.45633299975,2568,AL024,Alachua,12S,22E,08,72,2003,2014,29.456333,-82.137667,Y,Y,Y,Y,Y,Y,N,-,N,-,-,*,*,-,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.1033330000847,29.476667000316,2569,AL025,Alachua,12S,22E,03,72,1983,2014,29.476667,-82.103333,-,-,-,-,-,-,-,-,-,-,-,*,*,-,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.1400000003639,29.4566670001164,2570,AL026,Alachua,12S,22E,07,72,2011,2014,29.456667,-82.14,N,N,N,N,N,N,N,Y,Y,N,Y,*,*,Y,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.1961670000101,29.6344999996909,2571,AL027,Alachua,10S,21E,10,66,2014,2014,29.6345,-82.196167,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1773329999167,29.4894999999294,2572,AL028,Alachua,11S,21E,35,72,2014,2014,29.4895,-82.177333,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.2818330000254,29.5286669993494,2573,AL029,Alachua,11S,20E,10,65,2011,2014,29.528667,-82.281833,Y,U,N,U,Y,Y,Y,Y,Y,Y,N,*,*,Y,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.1800000000788,29.4966670005714,2574,AL030,Alachua,11S,21E,35,72,1993,2014,29.496667,-82.18,-,-,-,-,-,-,-,-,-,-,-,*,*,-,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.3258330000712,29.5023329996737,2575,AL031,Alachua,11S,20E,29,65,1989,2014,29.502333,-82.325833,-,-,-,-,-,-,-,-,-,-,-,*,*,-,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.4096670001505,29.5551670000282,2576,AL032,Alachua,11S,19E,09,65,2011,2014,29.555167,-82.409667,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,*,Y,*,*,N,*,2017/09/19 23:51:32+00,*,
-82.3516669998452,29.6233329999108,2577,AL033,Alachua,10S,20E,02,65,1994,2014,29.623333,-82.351667,-,-,-,-,-,-,-,-,-,-,-,*,*,-,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.2428330003931,29.6671670001852,2578,AL034,Alachua,09S,21E,31,66,2014,2016,29.667167,-82.242833,N,Y,Y,Y,Y,Y,N,N,N,U,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,U,
-82.2553330000795,29.6368329997598,2579,AL035,Alachua,10S,21E,07,65,1992,2014,29.636833,-82.255333,-,-,-,-,-,-,-,-,-,-,-,*,*,-,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.1884999994344,29.6195000004938,2580,AL037,Alachua,10S,21E,14,66,2014,2014,29.6195,-82.1885,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.2531669993344,29.6583329996795,2581,AL038,Alachua,10S,21E,06,65,2014,2014,29.658333,-82.253167,Y,Y,N,U,Y,Y,Y,Y,Y,Y,N,*,*,-,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.3755000005272,29.5029999995901,2582,AL039,Alachua,11S,19E,26,65,2014,2014,29.503,-82.3755,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.3041669999591,29.5511670003319,2583,AL040,Alachua,11S,20E,08,65,2011,2014,29.551167,-82.304167,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,*,*,Y,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.2168330000394,29.5300000005355,2584,AL041,Alachua,11S,21E,16,66,2014,2014,29.53,-82.216833,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,U,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1794999995883,29.4985000005214,2585,AL042,Alachua,11S,21E,35,72,2001,2014,29.4985,-82.1795,N,Y,N,Y,N,N,N,-,-,-,-,*,*,-,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.3073330007869,29.503000000372,2586,AL043,Alachua,11S,20E,28,65,2014,2014,29.503,-82.307333,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1401669998702,29.5031670000454,2587,AL045,Alachua,11S,22E,30,66,2014,2014,29.503167,-82.140167,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.2079999996997,29.6728330005173,2588,AL046,Alachua,09S,21E,33,66,2014,2014,29.672833,-82.208,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.3333330002423,29.4999999997556,2589,AL048,Alachua,11S,20E,29,71,1993,2014,29.5,-82.333333,-,-,-,-,-,-,-,-,-,-,-,*,*,-,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.2439999999821,29.6403330001098,2590,AL050,Alachua,10S,21E,07,66,2014,2014,29.640333,-82.244,Y,Y,Y,N,Y,Y,Y,U,N,Y,Y,*,*,-,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.2231669995482,29.6129999996612,2591,AL051,Alachua,10S,21E,20,66,2014,2014,29.613,-82.223167,Y,Y,Y,Y,N,N,U,Y,N,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1831669998332,29.5103329999433,2592,AL052,Alachua,11S,21E,26,66,2003,2014,29.510333,-82.183167,Y,Y,N,Y,Y,Y,N,N,N,U,U,*,*,N,*,*,N,*,2017/09/19 23:51:32+00,*,
-82.1665000003098,29.5540000000156,2593,AL053,Alachua,11S,21E,12,66,1995,2014,29.554,-82.1665,-,-,-,-,-,-,-,-,-,-,-,*,*,-,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.1074999999218,29.5253330000391,2594,AL054,Alachua,11S,22E,21,66,2014,2014,29.525333,-82.1075,Y,Y,Y,Y,N,N,U,Y,Y,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.4000000003078,29.6298330003579,2595,AL055,Alachua,10S,19E,15,65,2003,2014,29.629833,-82.4,Y,Y,Y,Y,Y,Y,N,-,-,-,-,*,*,-,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.4405000005132,29.7545000000315,2596,AL056,Alachua,08S,19E,39,65,2006,2014,29.7545,-82.4405,Y,Y,U,Y,Y,Y,Y,Y,Y,U,U,*,*,-,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.1479999992289,29.7951669999739,2597,AL057,Alachua,08S,21E,13,66,2014,2014,29.795167,-82.148,-,-,-,-,N,Y,Y,Y,Y,Y,Y,*,Y,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.0833330002272,29.5333330003345,2598,AL058,Alachua,11S,22E,14,66,1995,2014,29.533333,-82.083333,-,-,-,-,-,-,-,-,-,-,-,*,*,-,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.2418329994121,29.6466670002155,2599,AL060,Alachua,10S,21E,06,66,2014,2014,29.646667,-82.241833,Y,Y,Y,Y,N,N,-,-,Y,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.2138329997913,29.6193330001383,2600,AL061,Alachua,10S,21E,16,66,2014,2014,29.619333,-82.213833,Y,U,N,Y,Y,Y,N,Y,Y,Y,Y,*,*,N,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1476670000413,29.5008330005948,2601,AL062,Alachua,11S,22E,30,66,2014,2014,29.500833,-82.147667,Y,Y,Y,Y,N,Y,Y,Y,Y,U,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.1543329998111,29.4693329994095,2602,AL063,Alachua,12S,22E,07,72,2000,2014,29.469333,-82.154333,Y,Y,Y,U,N,N,-,-,-,-,-,*,*,-,*,*,-,*,2017/09/19 23:51:32+00,*,
-82.2676670000845,29.6170000001005,2603,AL064,Alachua,10S,20E,13,65,2014,2014,29.617,-82.267667,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,*,*,-,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.3143330004675,29.8316670002337,2604,AL065,Alachua,07S,20E,32,65,2014,2014,29.831667,-82.314333,Y,Y,U,U,U,N,-,-,-,Y,Y,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
-82.2738330002621,29.4880000000245,2605,AL066,Alachua,11S,20E,35,71,2014,2014,29.488,-82.273833,-,-,Y,N,Y,U,Y,Y,Y,U,U,*,*,Y,*,*,Y,*,2017/09/19 23:51:32+00,*,
