X,Y,OBJECTID,SITENUMBER,TERRITORY,NEST,NESTYEAR,last_edited_date
-82.2349820940175,26.637804769273,1,CayoCosta,2,A,2002,
-82.1545662500695,26.4578379970946,2,SanibelC,3,B,2002,
-82.1509992592652,26.4553379951946,3,SanibelC,5,B,2002,
-82.1499662460958,26.4548549844915,4,SanibelC,14,B,2002,
-82.063649307961,26.4255050350944,5,SanibelE,24,B,2002,
-85.1442679323926,29.6371707251204,6,FRANtj03,4,A,2002,
-85.445917193099,29.9545193312819,7,BAYtj07,404,A,2004,
-85.5214834083238,29.9843692062595,8,BAYtj07,409,A,2004,
-85.5274504469373,29.9918191845982,9,BAYtj07,410,A,2004,
-85.5235674045615,29.9869021959773,10,BAYtj07,413,A,2004,
-85.4620172047612,29.9576853136637,11,BAYtj07,407,A,2004,
-85.5227334005669,29.986252195528,12,BAYtj07,412,A,2004,
-85.4668502227364,29.9576852903148,13,BAYtj07,401,A,2004,
-85.4479671898999,29.9553523334912,14,BAYtj07,404,B,2004,
-85.5212833930359,29.9841692044054,15,BAYtj07,409,B,2004,
-85.5277334548794,29.9929191933638,16,BAYtj07,410,B,2004,
-85.5224174019961,29.9856521946884,17,BAYtj07,412,B,2004,
-85.5249504229252,29.9890021978534,18,BAYtj07,413,B,2004,
-85.4637502202343,29.9575693063376,19,BAYtj07,416,A,2004,
-85.4800172269111,29.9582192672103,20,BAYtj07,402,A,2004,
-85.462717216048,29.9580353007971,21,BAYtj07,407,B,2004,
-85.587433827677,30.0456353537277,22,BAYtj06,402,A,2004,
-85.579733792455,30.0367853239548,23,BAYtj06,407,A,2004,
-85.5424175482789,30.0045352070056,24,BAYtj06,406,A,2004,
-85.5678337101733,30.0247522756509,25,BAYtj06,410,A,2004,
-85.5782177839035,30.0359693198737,26,BAYtj06,416,A,2004,
-85.5668507080124,30.0239192799778,27,BAYtj06,403,A,2004,
-85.5793837710911,30.0363353156619,28,BAYtj06,412,A,2004,
-85.5446675621643,30.0058022052951,29,BAYtj06,415,A,2004,
-85.5446175493592,30.0058352038088,30,BAYtj06,415,B,2004,
-85.5415835379961,30.0051022100969,31,BAYtj06,411,A,2004,
-85.5836838096251,30.0414523360801,32,BAYtj06,401,A,2004,
-85.5758338114463,30.0496023861108,33,BAYtj06,417,A,2004,
-85.6161679521076,30.0621693655319,34,BAYtj06,408,A,2004,
-85.5862008378473,30.0454693495117,35,BAYtj06,412,B,2004,
-85.5832338003802,30.0408523354624,36,BAYtj06,401,B,2004,
-85.4718332261265,29.9572192864316,37,BAYtj07,408,A,2004,
-85.5277834380401,29.9917851972181,38,BAYtj07,410,C,2004,
-85.4667172055991,29.9577022913973,39,BAYtj07,417,A,2004,
-85.4610672022122,29.9580853123117,40,BAYtj07,407,C,2004,
-85.4780002333155,29.9575352729925,41,BAYtj07,418,A,2004,
-85.528317459527,29.9932351885356,42,BAYtj07,415,A,2004,
-85.4605002053679,29.958152306906,43,BAYtj07,419,A,2004,
-85.4641672127993,29.9573853029199,44,BAYtj07,416,B,2004,
-85.4856832454628,29.9598852555678,45,BAYtj07,403,A,2004,
-85.4538001935848,29.956602329227,46,BAYtj07,406,A,2004,
-85.4385331798041,29.9517023460649,47,BAYtj07,404,C,2004,
-85.4693502099176,29.9573022873166,48,BAYtj07,408,B,2004,
-85.466483207044,29.9576022913063,49,BAYtj07,401,B,2004,
-85.3457669362073,29.8669194743867,50,GULtj02,406,A,2004,
-85.3476999337306,29.8717354717243,51,GULtj02,403,A,2004,
-85.344182926087,29.8630524816703,52,GULtj02,402,A,2004,
