X,Y,PK_RANDOM_SAMPLE_LOCATION,REPORTING_UNIT,WATERBODY_TYPE,WATERBODY_NAME,CAN_BE_SAMPLED,LAT_DD,LAT_MM,LAT_SS,LONG_DD,LONG_MM,LONG_SS,PUBLIC_LAND_SURVEY_COORDINATES,COUNTY_NAME,QUARTER_QUAD_MAP_NUMBER,HYDROLOGIC_UNIT_NAME,COMMENTS,OBJECTID
-83.88606622,30.61289978,Z1-SS-12001,ZONE 1,STREAM,,No,30,36,46.41849136,83,53,9.82433033,,JEFFERSON,,APALACHEE BAY-ST. MARKS,Updated by Andy Roach 6-27-18.,179
-82.3805496,30.37303437,Z3-SS-12132,ZONE 3,STREAM,MIDDLE PRONG SAINT MARYS RIVER,N/A,30,22,22.90304947,82,22,49.96609879,,BAKER,,ST. MARYS, ,387
-84.26958488,30.65217917,NW1-SS-2030,NWFWMD-1,STREAM,,No,30,39,7.8243,84,16,10.4911,T   3    N R   1 S 19,LEON,q5435se,OCHLOCKONEE RIVER,,529
-84.85013196,30.47633967,NW1-SS-2031,NWFWMD-1,STREAM,,Yes,30,28,34.8023,84,51,0.46,T   1    N R   6 S 17,LIBERTY,q5239nw,OCHLOCKONEE RIVER,,530
-84.40931632,30.19554073,NW1-SS-2032,NWFWMD-1,STREAM,,Yes,30,11,43.9263,84,24,33.5242,T   3    S R   2 S 26,WAKULLA,q5036ne,ST MARKS RIVER,,531
-84.60937006,30.60368351,NW1-SS-2033,NWFWMD-1,STREAM,,No,30,36,13.24,84,36,33.7174,T   2    N R   4 S 2,GADSDEN,q5337nw,OCHLOCKONEE RIVER,,532
-84.68804151,30.27293396,NW1-SS-2034,NWFWMD-1,STREAM,,No,30,16,22.5419,84,41,16.9346,T   2    S R   5 S 25,WAKULLA,q5138sw,OCHLOCKONEE RIVER,,533
-84.31286551,30.62300269,NW1-SS-2035,NWFWMD-1,STREAM,,No,30,37,22.789,84,18,46.3013,T   3    N R   1 S 34,LEON,q5335nw,OCHLOCKONEE RIVER,,534
-84.63968963,30.13697185,NW1-SS-2036,NWFWMD-1,STREAM,,Yes,30,8,13.0784,84,38,22.8679,T   4    S R   4 S 16,WAKULLA,q5038se,OCHLOCKONEE RIVER,,535
-84.04582292,30.39546118,NW1-SS-2037,NWFWMD-1,STREAM,,No,30,23,43.6397,84,2,44.9483,T   1    S R   3 S 17,JEFFERSON,q5233se,ST MARKS RIVER,,536
