X,Y,OBJECTID,ATLASNUM,DATE_,OBSMODE,COUNTY,TOWNSHIP,RANGE,SECTION,GAZPAGE,ERA,NEW90,STATUS90,STATUS80,STATUS70,SUBSTRAT,CANOPY,LOCATION,ISLAND,SIZE_,SIZECONF,SPECCONF,BRPE,DCCO,ANHI,GBHE,GWHE,GREG,SNEG,LBHE,TCHE,REEG,CAEG,GRHE,BCNH,YCNH,WHIB,GLIB,ROSP,WOST,SMWT,LGWT,SMDK,LGDK,LONGDEC,LATDEC,last_edited_date,Present
-82.0166702141588,28.8166723961921,1140,611124,1999/05/05 04:00:00+00,Aerial,Sumter,19S,23E,21,78,80,No,Inactive,Active,Unknown, , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.016667,28.816667,2019/06/25 21:52:55+00,
-82.2666703129886,28.7833383130979,1141,611126,1999/05/05 04:00:00+00,Aerial,Citrus,20S,20E,01,77,80,No,Inactive,Inactive,Active, , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.266667,28.783333,2019/06/25 21:52:55+00,
-82.2666702348351,28.7583383246448,1142,611127,1999/03/16 04:00:00+00,Aerial,Citrus,20S,20E,12,77,80,No,Inactive,Inactive,Active, , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.266667,28.758333,2019/06/25 21:52:55+00,
-82.2666703013104,28.750005385186,1143,611128,1999/04/28 04:00:00+00,Aerial,Citrus,20S,20E,13,77,80,No,Inactive,Active,Unknown, , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.266667,28.75,2019/06/25 21:52:55+00,
-82.1000032130244,28.7333383583668,1144,611129,1999/03/16 04:00:00+00,Aerial,Sumter,20S,22E,22,78,80,No,Inactive,Active,Unknown, , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.1,28.733333,2019/06/25 21:52:55+00,
-82.1166702089546,28.7166723671904,1145,611130,1999/04/28 04:00:00+00,Aerial,Sumter,20S,22E,28,78,80,No,Inactive,Active,Unknown, , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.116667,28.716667,2019/06/25 21:52:55+00,
-82.1333361817036,28.6500053280064,1146,611132,1999/04/27 04:00:00+00,Aerial,Sumter,21S,22E,20,78,80,No,Inactive,Active,Unknown, , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.133333,28.65,2019/06/25 21:52:55+00,
-82.1333362760267,28.633338309621,1147,611133,1999/04/27 04:00:00+00,Aerial,Sumter,21S,22E,29,78,80,No,Inactive,Active,Unknown, , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.133333,28.633333,2019/06/25 21:52:55+00,
-82.4333363134148,28.5833383349674,1148,611134,1999/04/27 04:00:00+00,Aerial,Hernando,22S,19E,08,77,80,No,Inactive,Inactive,Active, , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.433333,28.583333,2019/06/25 21:52:55+00,
-82.0333361437887,28.5500052652782,1149,611135,1999/04/27 04:00:00+00,Aerial,Sumter,22S,23E,29,78,80,No,Inactive,Active,Unknown, , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.033333,28.55,2019/06/25 21:52:55+00,
